Model,MSO2012,,,
Firmware Version,1.06,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.0032,,,
Filter Frequency,1.00E+08,,,
Record Length,6242,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.00E+01,0.012,0.00399999,0,-0.2
-1.00E+01,0.012,0.028,0,0.4
-9.99E+00,0.012,0.00399999,0,-0.2
-9.99E+00,0.012,0.028,0,0.4
-9.99E+00,0.012,0.00399999,0,-0.2
-9.98E+00,0.012,0.02,0,0.2
-9.98E+00,0.012,0.00399999,0,-0.2
-9.98E+00,0.012,0.028,0,0.4
-9.97E+00,0.012,0.00399999,0,-0.2
-9.97E+00,0.012,0.028,0,0.4
-9.97E+00,0.012,0.00399999,0,-0.2
-9.97E+00,0.012,0.028,0,0.4
-9.96E+00,0.012,0.00399999,0,-0.2
-9.96E+00,0.012,0.028,0,0.4
-9.96E+00,0.012,0.00399999,0,-0.2
-9.95E+00,0.012,0.02,0,0.4
-9.95E+00,0.012,0.00399999,0,-0.2
-9.95E+00,0.012,0.02,0,0.4
-9.94E+00,0.012,0.00399999,0,-0.2
-9.94E+00,0.012,0.028,0,0.4
-9.94E+00,0.012,0.00399999,0,-0.2
-9.93E+00,0.012,0.028,0,0.4
-9.93E+00,0.012,0.00399999,0,-0.2
-9.93E+00,0.012,0.028,0,0.4
-9.92E+00,0.012,0.00399999,0,-0.2
-9.92E+00,0.012,0.028,0,0.4
-9.92E+00,0.012,0.00399999,0,-0.2
-9.91E+00,0.012,0.028,0,0.2
-9.91E+00,0.012,0.00399999,0,-0.2
-9.91E+00,0.012,0.028,0,0.4
-9.90E+00,0.00399999,0.00399999,0.2,-0.2
-9.90E+00,0.012,0.028,0,0.4
-9.90E+00,0.012,0.00399999,0,-0.2
-9.89E+00,0.012,0.028,0,0.4
-9.89E+00,0.012,0.00399999,0,-0.2
-9.89E+00,0.012,0.028,0,0.4
-9.89E+00,0.012,0.00399999,0,-0.2
-9.88E+00,0.012,0.028,0,0.4
-9.88E+00,0.012,0.00399999,0,-0.2
-9.88E+00,0.012,0.028,0,0.4
-9.87E+00,0.012,0.00399999,0,-0.2
-9.87E+00,0.012,0.028,0,0.4
-9.87E+00,0.012,0.00399999,0,-0.2
-9.86E+00,0.012,0.028,0,0.4
-9.86E+00,0.012,0.00399999,0,-0.2
-9.86E+00,0.012,0.028,0,0.4
-9.85E+00,0.012,-0.00400001,0,-0.2
-9.85E+00,0.012,0.028,0,0.4
-9.85E+00,0.012,0.00399999,0,-0.2
-9.84E+00,0.012,0.028,0,0.2
-9.84E+00,0.012,0.00399999,0,-0.2
-9.84E+00,0.012,0.028,0,0.4
-9.83E+00,0.012,-0.00400001,0,-0.2
-9.83E+00,0.012,0.028,0,0.4
-9.83E+00,0.012,0.00399999,0,-0.2
-9.82E+00,0.012,0.028,0,0.2
-9.82E+00,0.012,0.00399999,0,-0.2
-9.82E+00,0.012,0.028,0,0.4
-9.81E+00,0.012,0.00399999,0,-0.2
-9.81E+00,0.012,0.02,0,0.4
-9.81E+00,0.012,0.00399999,0,-0.2
-9.81E+00,0.012,0.028,0,0.4
-9.80E+00,0.012,0.00399999,0,-0.2
-9.80E+00,0.012,0.028,0,0.4
-9.80E+00,0.012,0.00399999,0,-0.2
-9.79E+00,0.012,0.028,0,0.4
-9.79E+00,0.012,0.00399999,0.2,-0.2
-9.79E+00,0.012,0.028,0,0.4
-9.78E+00,0.012,0.00399999,0,-0.2
-9.78E+00,0.012,0.028,0,0.4
-9.78E+00,0.012,0.00399999,0,-0.2
-9.77E+00,0.012,0.028,0,0.4
-9.77E+00,0.012,0.00399999,0,-0.2
-9.77E+00,0.012,0.028,0,0.4
-9.76E+00,0.012,0.00399999,0,-0.2
-9.76E+00,0.012,0.028,0,0.4
-9.76E+00,0.012,0.00399999,0,-0.2
-9.75E+00,0.012,0.028,0,0.2
-9.75E+00,0.012,0.00399999,0,-0.2
-9.75E+00,0.012,0.028,0,0.4
-9.74E+00,0.012,0.00399999,0,-0.2
-9.74E+00,0.012,0.028,0,0.4
-9.74E+00,0.012,0.00399999,0,-0.2
-9.73E+00,0.012,0.028,0,0.4
-9.73E+00,0.012,0.00399999,0,-0.2
-9.73E+00,0.00399999,0.02,0,0.4
-9.73E+00,0.012,0.00399999,0,-0.2
-9.72E+00,0.012,0.02,0,0.4
-9.72E+00,0.012,0.00399999,0,-0.2
-9.72E+00,0.012,0.028,0,0.4
-9.71E+00,0.012,0.00399999,0,-0.4
-9.71E+00,0.012,0.028,0,0.4
-9.71E+00,0.012,0.00399999,0,-0.2
-9.70E+00,0.012,0.028,0,0.4
-9.70E+00,0.012,0.00399999,0,-0.2
-9.70E+00,0.012,0.028,0,0.4
-9.69E+00,0.012,0.00399999,0,-0.2
-9.69E+00,0.012,0.028,0,0.4
-9.69E+00,0.012,0.00399999,0,-0.2
-9.68E+00,0.02,0.028,0,0.2
-9.68E+00,0.012,0.00399999,0,-0.2
-9.68E+00,0.012,0.028,0,0.4
-9.67E+00,0.012,-0.268,0,-9
-9.67E+00,0.012,0.86,0.2,13.2
-9.67E+00,0.012,0.00399999,0.6,-0.6
-9.66E+00,0.012,0.028,0.2,0.8
-9.66E+00,0.012,0.00399999,0,-0.2
-9.66E+00,0.012,0.02,0,0.4
-9.65E+00,0.012,0.00399999,0,-0.2
-9.65E+00,0.012,0.028,0,0.4
-9.65E+00,0.012,0.00399999,0,-0.2
-9.65E+00,0.012,0.028,0,0.4
-9.64E+00,0.012,0.00399999,0,-0.2
-9.64E+00,0.012,0.02,0,0.2
-9.64E+00,0.012,0.00399999,0,-0.2
-9.63E+00,0.012,0.02,0,0.4
-9.63E+00,0.012,0.00399999,0,-0.2
-9.63E+00,0.012,0.02,0,0.4
-9.62E+00,0.012,0.00399999,0,-0.2
-9.62E+00,0.012,0.02,0,0.4
-9.62E+00,0.012,-0.00400001,0,-0.4
-9.61E+00,0.012,0.028,0,0.4
-9.61E+00,0.012,0.00399999,0,-0.2
-9.61E+00,0.012,0.02,0,0.4
-9.60E+00,0.012,-0.00400001,0,-0.2
-9.60E+00,0.012,0.028,0,0.4
-9.60E+00,0.012,0.00399999,0,-0.2
-9.59E+00,0.012,0.02,0,0.4
-9.59E+00,0.012,0.00399999,0,-0.2
-9.59E+00,0.012,0.02,0,0.4
-9.58E+00,0.012,0.00399999,0,-0.2
-9.58E+00,0.012,0.02,0,0.4
-9.58E+00,0.012,0.00399999,0,-0.2
-9.57E+00,0.012,0.02,0,0.4
-9.57E+00,0.012,-0.00400001,0,-0.2
-9.57E+00,0.012,0.02,0,0.4
-9.57E+00,0.012,0.00399999,0,-0.2
-9.56E+00,0.012,0.02,0,0.4
-9.56E+00,0.012,0.00399999,0,-0.2
-9.56E+00,0.012,0.02,0,0.4
-9.55E+00,0.012,-0.00400001,0,-0.2
-9.55E+00,0.012,0.02,0,0.4
-9.55E+00,0.012,0.00399999,0,-0.2
-9.54E+00,0.012,0.02,0,0.4
-9.54E+00,0.012,-0.00400001,0,-0.2
-9.54E+00,0.012,0.02,0,0.4
-9.53E+00,0.012,-0.00400001,0,-0.2
-9.53E+00,0.012,0.02,0,0.4
-9.53E+00,0.012,-0.00400001,0,-0.2
-9.52E+00,0.012,0.02,0,0.2
-9.52E+00,0.012,-0.00400001,0,-0.2
-9.52E+00,0.012,0.02,0,0.4
-9.51E+00,0.012,-0.00400001,0,-0.2
-9.51E+00,0.012,0.02,0,0.4
-9.51E+00,0.012,-0.00400001,0,-0.2
-9.50E+00,0.012,0.02,0,0.2
-9.50E+00,0.012,-0.00400001,0,-0.2
-9.50E+00,0.012,0.02,0,0.4
-9.49E+00,0.012,-0.00400001,0,-0.2
-9.49E+00,0.012,0.02,0,0.2
-9.49E+00,0.00399999,-0.00400001,0,-0.2
-9.49E+00,0.012,0.02,0,0.4
-9.48E+00,0.012,-0.00400001,0,-0.2
-9.48E+00,0.012,0.02,0,0.4
-9.48E+00,0.00399999,-0.00400001,0,-0.2
-9.47E+00,0.00399999,0.02,0,0.4
-9.47E+00,0.012,-0.00400001,0,-0.2
-9.47E+00,0.012,0.02,0,0.4
-9.46E+00,0.012,-0.00400001,0,-0.2
-9.46E+00,0.00399999,0.02,0,0.4
-9.46E+00,0.012,-0.00400001,0,-0.2
-9.45E+00,0.012,0.02,0,0.4
-9.45E+00,0.012,-0.00400001,0,-0.2
-9.45E+00,0.012,0.02,0,0.4
-9.44E+00,0.012,-0.00400001,0,-0.2
-9.44E+00,0.012,0.02,0,0.4
-9.44E+00,0.012,-0.00400001,0,-0.2
-9.43E+00,0.00399999,0.02,0,0.2
-9.43E+00,0.012,-0.00400001,0,-0.2
-9.43E+00,0.00399999,0.02,0,0.4
-9.42E+00,0.012,-0.00400001,0,-0.2
-9.42E+00,0.012,0.02,0,0.4
-9.42E+00,0.012,-0.00400001,0,-0.2
-9.41E+00,0.012,0.02,0,0.2
-9.41E+00,0.012,-0.00400001,0,-0.2
-9.41E+00,0.00399999,0.02,0,0.2
-9.41E+00,0.012,-0.00400001,0,-0.2
-9.40E+00,0.00399999,0.02,0,0.4
-9.40E+00,0.00399999,-0.00400001,0,-0.2
-9.40E+00,0.00399999,0.02,0,0.4
-9.39E+00,0.012,-0.00400001,0,-0.2
-9.39E+00,0.012,0.02,0,0.4
-9.39E+00,0.012,-0.00400001,0,-0.2
-9.38E+00,0.012,0.02,0,0.4
-9.38E+00,0.012,-0.00400001,0,-0.2
-9.38E+00,0.012,0.02,0,0.2
-9.37E+00,0.012,-0.00400001,0,-0.2
-9.37E+00,0.00399999,0.02,0,0.4
-9.37E+00,0.012,-0.00400001,0,-0.2
-9.36E+00,0.012,0.02,0,0.2
-9.36E+00,0.012,-0.00400001,0,-0.2
-9.36E+00,0.00399999,0.02,0,0.4
-9.35E+00,0.012,-0.00400001,0,-0.2
-9.35E+00,0.00399999,0.02,0,0.4
-9.35E+00,0.00399999,-0.00400001,0,-0.2
-9.34E+00,0.012,0.02,0,0.2
-9.34E+00,0.012,-0.00400001,0,-0.2
-9.34E+00,0.012,0.02,0,0.4
-9.33E+00,0.012,-0.00400001,0,-0.2
-9.33E+00,0.012,0.02,0,0.4
